
Perfect Digital Audio Extraction



Each CD drive reads audio discs slightly out (a number of samples), if your CD drive supports 'Accurate Stream' it will be a constant value, this value tends to be the same for each particular make and model of CD Drive. A small number of drives have [Purged] as the offset, these drives were found not to have a constant drive offset (perhaps different manufacturing batches, or firmwares), as such they have been removed from AccurateRip's drive database (should you have one of these drives, 3 matching key disks will be required to configure AccurateRip).?
This list contains submitted drive read offsets in a format compatible with dBpowerAMP Music Converter (dMC) and Exact Audio Copy (EAC). Contribute your offset by easily configuring AccurateRip on your CD drives - www.accuraterip.com?

Information: JLMS drives are listed as Lite-ON,?? HL-DT-ST as LG Electronics? &? Matshita as Panasonic

CD Drive	Correction Offset	Submitted By	Percentage Agree
CDWRITER - IDE2410	+12	5	100%
CDWRITER - IDE3212	+12	7	100%
CDWRITER - IDE4816	+12	8	100%
CDWRITER - IDE5224	+6	77	100%
CDWRITER - IDE5232	+6	51	100%
CENDYNE - 522452AU	+6	3	100%
CENDYNE_ - 481648AX	+733	3	100%
CntxCorp - C-DVD-ROM	+6	1	100%
COMBI - RW16x10-DVD	+692	7	100%
COMBI - RW32-DVD	+692	3	66%
COMBO - 5216IA	+6	2	100%
COMBO - 52X32X52X	+6	1	100%
COMBO - BCO5232IM	+6	5	100%
COMBO - COB-2K5216	+6	2	100%
COMBO - COB-6V5216	+6	3	100%
COMBO - IDE2408SU	+6	1	100%
COMBO - IDE4016CO	+6	1	100%
COMBO - IDE4816CO	+6	3	100%
COMBO - IDE5216CO	+6	14	100%
COMBO - IDE5232CO	+6	19	100%
COMBO - USB5232	+6	1	100%
COMPAL - TSB24H1 DVD-CDRW	+6	8	100%
COMPAL - TSB24H2 DVD-CDRW	+6	1	100%
COMPAL - TSD80Y1 DVD RW	+691	1	100%
Compaq - 8120B	+594	1	100%
COMPAQ - CD-224E	+684	18	100%
COMPAQ - CD-ROM CR-587	+103	1	100%
COMPAQ - CD-ROM CR-588	+103	2	100%
COMPAQ - CD-ROM CR-589	+102	1	100%
COMPAQ - CD-ROM CRD-8402B	-24	3	100%
COMPAQ - CD-ROM CRD-8484B	-491	20	100%
COMPAQ - CD-ROM CRN-8245B	-491	4	100%
COMPAQ - CD-ROM LTN403	-1164	8	100%
COMPAQ - CD-ROM LTN485	-1164	3	100%
COMPAQ - CD-ROM LTN486S	+600	52	100%
Compaq - CD-ROM SC-148E	-491	9	100%
COMPAQ - CD-ROM SN-124	+564	1	100%
COMPAQ - CRD-8322B	-24	3	100%
COMPAQ - CRD-8400B	-24	1	100%
COMPAQ - CRD-8401B	-24	1	100%
COMPAQ - CRD-8402B	-24	1	100%
COMPAQ - CRD-8481B	-24	2	100%
COMPAQ - DVD-ROM DRD8120B	+594	8	100%
Compaq - DVD-ROM DV-5700B	+116	1	100%
Compaq - DVD-ROM DV28EA01	+690	3	100%
Compaq - DVD-ROM DV28EB	+102	5	100%
Compaq - DVD-ROM DVD-114	+690	5	100%
Compaq - DVD-ROM DVD-115	+690	6	100%
Compaq - DVD-ROM DVD-116	+102	6	100%
Compaq - DVD-ROM DVD-117	+102	7	100%
COMPAQ - DVD-ROM GD-2500	+564	5	100%
COMPAQ - DVD-ROM GD-8000	+667	11	100%
Compaq - DVD-ROM GDR8081N	+667	6	100%
COMPAQ - DVD-ROM GDR8160B	+102	25	100%
COMPAQ - DVD-ROM LTD163	+594	4	100%
COMPAQ - DVD-ROM SD-612B	+704	8	100%
Compaq - DVD-ROM SD-616T	+1182	4	100%
Compaq - DVD-ROM SD-C2402	-472	9	100%
Compaq - DVD-ROM SD-C2512	-472	6	100%
Compaq - DVD-ROM SD-C2612	-472	10	100%
Compaq - DVD-ROM SD-M1612	-472	7	100%
COMPAQ - DVD-ROM SR-8583	+691	1	100%
COMPAQ - DVD-ROM SR-8587	+103	1	100%
COMPAQ - SC-140S	+600	4	75%
COMPAQ - SC-148F	+600	4	100%
COMPAQ - XM-6402B	+94	1	100%
CREATIVE - CD-RW RW8438E	+86	2	100%
CREATIVE - CD4834E FC101	+12	3	100%
CREATIVE - CD4834E FC102	+12	1	100%
CREATIVE - CD5233E-N	+12	17	100%
CREATIVE - CD5233E	+12	15	100%
CREATIVE - CD-RW RW121032E	+99	4	100%
CREATIVE - CD-RW RW1210E	+688	12	100%
CREATIVE - CD-RW RW1611E	+12	2	100%
CREATIVE - CD-RW RW2410E	+12	5	100%
CREATIVE - CD-RW RW4020E	+12	1	100%
CREATIVE - CD-RW RW8432E	+355	1	100%
CREATIVE - CD4820E CS990211	+679	3	100%
CREATIVE - CD4821E JJ990629	+12	1	100%
CREATIVE - CD5220 SB991119	+694	1	100%
CREATIVE - CD5220-F 0225	+694	2	100%
CREATIVE - CD5230E	+12	3	100%
CREATIVE - CD5233E-CF	+696	2	100%
CREATIVE - CD5233E	+12	7	100%
CREATIVE - DVD-RAM RAM1216S	-495	1	100%
CREATIVE - DVD-ROM DVD1241E	+594	8	100%
CREATIVE - DVD-ROM DVD1242E	+704	1	100%
CREATIVE - DVD-ROM DVD1610E	+594	9	100%
CREATIVE - DVD-ROM DVD6240E	+564	26	100%
CREATIVE - DVD1240E	+691	4	100%
CREATIVE - DVD5240E-1	+691	9	100%
CREATIVE - DVD5241E	+691	1	100%
CREATIVE - DVD6630E	+691	5	100%
CREATIVE - DVD8400E	+691	14	100%
CREATIVE - DVDRW DR1620E	+12	1	100%
CREATIVE - iR CD5222E-B	+12	2	100%
CyberDrv - CB511D Combo	+6	1	100%
CyberDrv - CW018D CD-R-RW	+86	1	100%
CyberDrv - CW038D CD-R-RW	+733	24	100%
CyberDrv - CW058D CD-R-RW	+733	45	100%
CyberDrv - CW068D CD-R-RW	+733	4	100%
CyberDrv - CW078D CD-R-RW	+733	12	100%
CyberDrv - CW088D CD-R-RW	+733	28	100%
CyberDrv - CW089D CD-R-RW	+6	3	100%
CyberDrv - CW099D CD-R-RW	+6	15	100%
DAVILON - DVD-ROM LV-1015	0	5	100%
DAVILON - LV-1015	0	5	100%
DELTA - OIP-SD2400A-BM	+12	1	100%
DEXPRESO - DVDRW	+6	1	100%
DEXPRESO - DVDRW D20A1P	+6	1	100%
DM126D - DVDROM '01-02-28	+564	2	100%
DM126D - DVDROM '01-11-27	+564	1	100%
DM166D - DVD-ROM	+564	3	100%
DVD - 16X	+6	11	100%
DVD DUAL - GO-W0404A	+12	6	100%
DVD DUAL - GO-W1616B	+12	9	100%
DVD ROM - CI-BDV316E	+12	1	100%
DVD ROM - DX-DVDR100	+12	3	100%
DVD+R-RW - DX082D	+1292	5	100%
DVD-16X - BDV316B	+594	1	100%
DVD-16X - BDV316C	+12	1	100%
DVD-16X - DVD-ROM BDV316C	+12	40	100%
DVD-16X - DVD-ROM BDV316E	+12	45	100%
DVD-16X - DVD-ROM BDV316G	+6	21	100%
DVD-16X - DVD1648-BKH	+12	9	100%
DVD-16X - OEM316B	+594	18	100%
DVD-ROM - 16X	+691	25	100%
DVD-ROM - DVD-16X3H	+594	3	100%
DVD-ROM - DVD-16X6S	+12	32	100%
DVD-ROM - DVD-1S16P	+6	1	100%
DVD-ROM - DVD-7T16	+12	3	100%
DVD-ROM - LTD-16X5H	+12	3	100%
DVDR-RW - DX162D-A	+618	18	100%
DVDROM - GO-D1600B	+12	1	100%
DVDROM - GO-D1600D	+12	3	100%
DVDROM - PATA 16X48X	+6	1	100%
DVDROM -	+564	1	100%
DVDROM 1 - 0X	+564	7	100%
DVDROM 8 - X	+564	2	100%
DVDRW - 1008IB	+12	1	100%
DVDRW - 16X16	+6	16	100%
DVDRW - 16X16X5X	+6	2	100%
DVDRW - 16X16X	+6	35	100%
DVDRW - 18X18X12X	+6	16	100%
DVDRW - 20X20X12X	+6	14	100%
DVDRW - DRW-1S41	+12	3	100%
DVDRW - DRW-1S45	+12	6	100%
DVDRW - DRW-1S81	+12	3	100%
DVDRW - DRW-2S81	+12	8	100%
DVDRW - DRW-3S121	+12	1	100%
DVDRW - DRW-3S163	+12	8	100%
DVDRW - DRW-3S165	+12	6	100%
DVDRW - DRW-3S167	+12	3	100%
DVDRW - DRW-5S163	+6	11	100%
DVDRW - DRW-6S160H	+6	5	100%
DVDRW - DRW-6S160P	+6	20	100%
DVDRW - DUALS801E	+688	1	100%
DVDRW - IDE 16X	+12	266	100%
DVDRW - IDE H16X	+6	37	100%
DVDRW - IDE1004	+12	62	100%
DVDRW - IDE1008	+12	113	100%
DVDRW - IDE1108	+12	32	100%
DVDRW - PATA 20X20X12X	+6	9	100%
DVDRW - SATA 20X20X12X	+6	17	100%
DVDRW - SATA 24X24X12X	+48	3	100%
DVDRW - SATA H16X	+6	2	100%
DVDRW - USB 16X	+12	28	100%
DVDRW - USB H16X	+6	6	100%
DVDRW - USB1008UI	+12	4	100%
DVDRW - USB1108	+12	1	100%
E-IDE - CD-950E-AKU	+680	1	100%
E-IDE - CD-950E-TKU	+12	9	100%
E-IDE - CD-952E-TKU	+12	2	100%
E-IDE - CD-ROM 24X-AKOx	+679	1	100%
E-IDE - CD-ROM 32X-AKU	+1268	6	100%
E-IDE - CD-ROM 36X-AKU	+1268	3	100%
E-IDE - CD-ROM 36X-AKW	+1268	2	100%
E-IDE - CD-ROM 40X-AKH	+106	1	100%
E-IDE - CD-ROM 40X-AKU	+1268	8	100%
E-IDE - CD-ROM 48X-AKH	+106	1	100%
E-IDE - CD-ROM 48X-AKU	+1268	6	66%
E-IDE - CD-ROM 48X-TKU	+12	3	100%
E-IDE - CD-ROM 50X L	+108	3	100%
E-IDE - CD-ROM 50X	+682	3	100%
E-IDE - CD-ROM 52X L	+682	5	80%
E-IDE - CD-ROM 52X-AKH	+106	25	100%
E-IDE - CD-ROM 56X L	+682	2	100%
E-IDE - CD-ROM 56X-AKH	+106	10	100%
E-IDE - CD-ROM 56X	+682	1	100%
E-IDE - CD-ROM CR-856E	+12	1	100%
E-IDE - CD-ROM Max 54X	+12	1	100%
E-IDE - DVD-ROM DVD-8210	+594	1	100%
E-IDE CD - -952E-AKV	+691	7	100%
E-IDE CD - -956E-AKV	+691	8	100%
EPO - CR-844S	+12	1	100%
eSATA - CDDVDW SH-S202N	+6	1	100%
eSATA - DVD-RAM GSA-H55L	+102	1	100%
FREECOM - CDRW52J	+6	8	100%
FREECOM_ - BDCOMBO12H	+6	2	100%
FREECOM_ - DVD+--RW16B6	+48	4	100%
FREECOM_ - DVD+--RW16B9	+48	24	100%
FREECOM_ - DVD+--RW16H4	+48	2	100%
FREECOM_ - DVD+--RW16H8	+6	6	100%
FREECOM_ - DVD+--RW16J6	+6	1	100%
FREECOM_ - DVD+--RW16J8	+6	3	100%
FREECOM_ - DVD+--RW16J9	+6	1	100%
FREECOM_ - DVD+--RW16N8	+6	1	100%
FREECOM_ - DVD+--RW16N9	+704	9	100%
FREECOM_ - DVD+--RW18H9	+6	10	100%
FREECOM_ - DVD+--RW18J9	+6	3	100%
FREECOM_ - DVD+--RW20J5	+6	8	100%
FREECOM_ - DVD+--RW20J6	+6	16	100%
FREECOM_ - DVD+--RW20J7	+6	2	100%
FREECOM_ - DVD+--RW20J8	+6	1	100%
FREECOM_ - DVD+--RW20J9	+6	3	100%
FREECOM_ - DVD+--RW22J8	+6	4	100%
FREECOM_ - DVD+--RW22J9	+6	3	100%
FREECOM_ - DVD+--RW22JS8	+6	1	100%
FREECOM_ - DVD+--RW4B	+48	3	100%
FREECOM_ - DVD+--RW8B9	+48	5	100%
FREECOM_ - DVD+--RW8J1	+12	4	100%
FREECOM_ - DVDRW22H9	+697	2	100%
FREECOM_ - DVDRW24H8	+6	3	100%
GENERIC - CDRCB02	+690	4	100%
GENERIC - CDRCB03	+102	1	100%
GENERIC - CDRCB05	+102	7	100%
GENERIC - CDRCB06	+102	2	100%
GENERIC - CRD-BP1300P	+688	5	100%
GENERIC - CRD-BP1400P	+688	3	100%
GENERIC - CRD-BP1500P	+688	7	100%
GENERIC - CRD-BP1600P	+688	5	100%
GENERIC - CRD-BP1700P	+688	3	100%
GENERIC - CRD-BP3	+688	4	100%
GENERIC - CRD-BP4	+688	1	100%
GENERIC - CRD-BP5	+688	1	100%
GENERIC - DSW2080	+691	1	100%
GENERIC - DVD RW 12XMax	+691	3	100%
GENERIC - DVD RW 16XMax	+691	11	100%
GENERIC - DVD RW 4XMax	+688	5	100%
GENERIC - DVD RW 8XMax	+689	17	100%
GENERIC - DVD+RW 4XMax	+688	3	100%
GENERIC - DVD-RAM MLT05	+102	3	100%
GENERIC - FREECOM16B	+685	1	100%
GENERIC - FREECOM24B	+685	5	100%
GENERIC - FREECOM32A	+688	6	100%
GENERIC - FREECOM40B1	+685	1	100%
Generic_ - DVD-ROM	0	4	100%
GIGABYTE - GO-B5232A	+6	4	100%
GIGABYTE - GO-B5232C	+6	4	100%
GIGABYTE - GO-D1600A	+12	1	100%
GIGABYTE - GO-D1600C	+12	3	100%
GIGABYTE - GO-R5232A	+6	6	100%
GIGABYTE - GO-W0808A	+12	2	100%
GIGABYTE - GO-W1608A	+6	2	100%
GIGABYTE - GO-W1623A	+6	3	100%
GIGABYTE - GO-W20MA	+6	1	100%
GIGABYTE - GO-W20MB	+6	1	100%
GoldStar - CD-ROM CRD-8322B	-24	5	100%
GoldStar - CD-ROM CRD-8482B	-24	3	100%
GoldStar - CD-ROM CRN-8243B	-24	1	100%
GoldStar - CD-RW CED-8120B	+685	3	100%
HIGH - SPEED CD ROM	+600	3	100%
HITACHI - CDR-8335	+1272	10	100%
HITACHI - CDR-8435	+684	1	100%
HITACHI - DVD-RAM GF-2050	+667	1	100%
HITACHI - DVD-ROM GD-2500	+564	43	100%
HITACHI - DVD-ROM GD-3000	+667	2	100%
HITACHI - DVD-ROM GD-5000	+667	43	100%
HITACHI - DVD-ROM GD-7000	+667	13	100%
HITACHI - DVD-ROM GD-7500	+667	41	100%
HITACHI - DVD-ROM GD-8000	+667	24	100%
HITACHI - DVD-ROM GD-S200	+667	20	100%
HITACHI - DVD-ROM GD-S250	+667	10	100%
HITACHI - DVD-ROM GD-SS20	+667	1	100%
hp - BD B DH8B2LH	+6	5	100%
hp - BD B DH8E2L	+6	12	100%
hp - BD E DH12E3LH	+702	2	100%
hp - BD E DL4ETS	+6	2	100%
hp - BD O DH4O3S	+696	3	100%
hp - BD CMB UJ141AF	+103	3	100%
HP - BD Combo 240d	+6	11	100%
HP - BD COMBO bd530s	+6	1	100%
hp - BD E DS6E2LH	+6	5	100%
hp - BD MLT UJ240	+103	3	100%
hp - BD MLT UJ240AF	+103	5	100%
hp - BD ROM BC-5500S	+48	8	100%
hp - BD ROM BC-5501H	+48	19	100%
hp - BD ROM BC-5501S	+48	2	100%
hp - BD ROM BC-5541H	+48	7	100%
hp - BD ROM BC-5550H	+48	2	100%
hp - BD ROM BC-5600S	+48	1	100%
hp - BD RW BD-5730H	+48	4	100%
hp - BD RW BD-5740H	+48	1	100%
hp - BD RW BD-5750H	+48	3	100%
HP - BD Writer bd335e	+6	1	100%
HP - BD Writer bd335i	+6	1	100%
HP - BD Writer bd340i	+6	13	100%
hp - BD-RE BH20L	+667	21	100%
hp - BD-RE BH30L	+667	23	100%
hp - BD-RE BT11N	+667	1	100%
hp - BD-ROM BDCTD03HA	+667	3	100%
hp - BDDVDRW CA21N	+102	13	100%
hp - BDDVDRW CA30N	+102	2	100%
hp - BDDVDRW CA30P	+102	1	100%
hp - BDDVDRW CH10L	+667	3	100%
hp - BDDVDRW CH20L	+667	48	100%
hp - BDDVDRW CH28N	+667	1	100%
hp - BDDVDRW CT10L	+667	12	100%
hp - BDDVDRW CT21L	+102	31	100%
hp - BDDVDRW CT30K	+102	3	100%
hp - BDDVDRW CT30L	+102	6	100%
hp - BDDVDRW CT40N	+102	1	100%
hp - BDRW BR-TD01HA	+667	2	100%
HP - CD Writer 52r	+6	4	100%
HP - CD-ROM CD32X	+679	1	100%
HP - CD-ROM CD40X	+676	1	100%
HP - CD-Writer cd16b	+12	10	100%
HP - CD-Writer cd16e	+12	1	100%
HP - CD-Writer cd16f	+733	18	100%
HP - CD-Writer cd16n	+685	1	100%
HP - CD-Writer cd16r	+12	8	100%
HP - CD-Writer cd4f	+674	1	100%
HP - CD-Writer+ 7100	+675	4	100%
HP - CD-Writer+ 7200	+1263	1	100%
HP - CD-Writer+ 7500	+1160	3	100%
HP - CD-Writer+ 8000	+686	3	100%
HP - CD-Writer+ 8100	+1160	19	100%
HP - CD-Writer+ 8200	+1160	24	100%
HP - CD-Writer+ 8200a	+572	12	100%
HP - CD-Writer+ 8200f	+674	4	100%
HP - CD-Writer+ 8290	+686	13	100%
HP - CD-Writer+ 9100	+572	64	100%
HP - CD-Writer+ 9100b	+86	9	100%
HP - CD-Writer+ 9100c	-436	3	100%
HP - CD-Writer+ 9200	+572	13	100%
HP - CD-Writer+ 9300	+572	22	100%
HP - CD-Writer+ 9500	+572	16	100%
HP - CD-Writer+ 9500b	+685	5	100%
HP - CD-Writer+ 9600	+572	8	100%
HP - CD-Writer+ 9700k	+733	3	100%
hp - CDDVDW SH-216AL	+6	1	100%
hp - CDDVDW SH-216ALN	+6	5	100%
hp - CDDVDW SN-208BB	+6	5	100%
hp - CDDVDW TS-H653R	+6	177	100%
hp - CDDVDW TS-H653T	+6	29	100%
hp - CDDVDW TS-H653TN	+6	3	100%
hp - CDDVDW TS-L633J	+6	4	100%
hp - CDDVDW TS-L633M	+6	67	100%
hp - CDDVDW TS-L633N	+6	177	100%
hp - CDDVDW TS-L633R	+6	100	100%
hp - CDDVDW TS-T633C	+6	1	100%
hp - CDDVDW TS-T633L	+6	2	100%
hp - CDDVDW TS-T633P	+6	5	100%
hp - CDDVDW TS-U633F	+6	6	100%
hp - CDDVDW TS-U633J	+6	8	100%
hp - DVD A DC8A2LH	+6	1	100%
hp - DVD A DH16AAL	+6	119	100%
hp - DVD A DH16ABLH	+6	53	100%
hp - DVD A DH16ABSH	+6	5	100%
hp - DVD A DL8ATL	+6	7	100%
hp - DVD A DS8A4LH	+6	6	100%
hp - DVD A DS8A5LH	+6	25	100%
hp - DVD A DS8A8SH	+6	2	100%
hp - DVD D DH16D5S	+6	17	100%
hp - DVD RAM UJ892	+102	4	100%
hp - DVD RAM UJ897	+102	9	100%
hp - DVD RAM UJ8A7	+102	1	100%
HP - DVD ROM 435r	+6	4	100%
HP - DVD ROM 455d	+6	1	100%
HP - DVD ROM 465r	+6	2	100%
hp - DVD RW AD-7250H5	+48	1	100%
hp - DVD RW AD-7251H5	+48	29	100%
hp - DVD RW AD-7561S	+6	51	100%
hp - DVD RW AD-7581S	+6	26	100%
hp - DVD RW AD-7586H	+6	49	100%
hp - DVD RW AD-7701H	+48	62	100%
hp - DVD RW AD-7711H	+48	24	100%
hp - DVD RW AD-7721H	+48	3	100%
hp - DVD RW AD-7740H	+48	1	100%
hp - DVD RW AD-7930H	+48	4	100%
HP - DVD Writer 100j	+120	4	100%
HP - DVD Writer 1035r	+6	9	100%
HP - DVD Writer 1040d	+6	126	100%
HP - DVD Writer 1040r	+6	110	100%
HP - DVD Writer 1060d	+6	10	100%
HP - DVD Writer 1060r	+6	11	100%
HP - DVD Writer 1070d	+6	41	100%
HP - DVD Writer 1070r	+6	17	100%
HP - DVD Writer 1135r	+6	1	100%
HP - DVD Writer 1140d	+6	16	100%
HP - DVD Writer 1140i	+6	1	100%
HP - DVD Writer 1140r	+6	23	100%
HP - DVD Writer 1160d	+6	9	100%
HP - DVD Writer 1170d	+6	30	100%
HP - DVD Writer 1170r	+6	23	100%
HP - DVD Writer 1260d	+6	37	100%
HP - DVD Writer 1260r	+48	25	100%
HP - DVD Writer 1260t	+6	41	100%
HP - DVD Writer 1270d	+6	73	100%
HP - DVD Writer 1270e	+6	11	100%
HP - DVD Writer 1270r	+48	25	100%
HP - DVD Writer 1270t	+6	22	100%
HP - DVD Writer 200j	+120	57	100%
HP - DVD Writer 300c	+1292	41	100%
HP - DVD Writer 300n	+48	126	100%
HP - DVD Writer 400c	+1292	46	100%
HP - DVD Writer 420n	+48	23	100%
HP - DVD Writer 520n	+48	1	100%
HP - DVD Writer 530r	+12	11	100%
HP - DVD Writer 550r	+6	7	100%
HP - DVD Writer 555r	+6	1	100%
HP - DVD Writer 555s	+6	5	100%
HP - DVD Writer 556s	+6	18	100%
HP - DVD Writer 557r	+6	3	100%
HP - DVD Writer 557s	+6	3	100%
HP - DVD Writer 560r	+6	2	100%
HP - DVD Writer 565s	+6	4	100%
HP - DVD Writer 630c	+618	48	100%
HP - DVD Writer 635d	+12	6	100%
HP - DVD Writer 640b	+102	80	100%
HP - DVD Writer 640c	+618	166	100%
HP - DVD Writer 640v	+618	26	100%
HP - DVD Writer 735d	+6	1	100%
HP - DVD Writer 740b	+102	110	100%
HP - DVD Writer 740e	+102	7	100%
HP - DVD Writer 740r	+6	6	100%
HP - DVD Writer 840b	+102	68	100%
HP - DVD Writer 840d	+6	29	100%
HP - DVD Writer 840e	+102	14	100%
HP - DVD Writer 840x	+102	23	100%
HP - DVD Writer 840y	+102	4	100%
HP - DVD Writer 940d	+6	82	100%
hp - DVD-RAM GH40L	+667	159	100%
hp - DVD-RAM GH60L	+667	79	100%
hp - DVD-RAM GH80N	+667	5	100%
hp - DVD-RAM SW810	+6	1	100%
hp - DVD-RAM UJ8B1	+6	13	100%
HP - DVD-ROM rm475e	+6	3	100%
hp - DVD-ROM TS-H353B	+6	4	100%
hp - DVD-ROM TS-H353C	+6	7	100%
hp - DVD-ROM TS-L333B	+6	1	100%
hp - DVD-ROM TS-L333F	+6	1	100%
hp - DVDRAM GA31N	+103	1	100%
hp - DVDRAM GS20N	+667	3	100%
hp - DVDRAM GS30N	+667	4	100%
hp - DVDRAM GSA-U20N	+667	5	100%
hp - DVDRAM GT20L	+667	85	100%
hp - DVDRAM GT30L	+103	174	100%
hp - DVDRAM GT30N	+103	1	100%
hp - DVDRAM GT31L	+103	48	100%
hp - DVDRAM GT31N	+103	3	100%
hp - DVDRAM GT50N	+103	10	100%
hp - DVDRAM GU10N	+667	12	100%
hp - DVDRAM GU40N	+103	7	100%
hp - DVDRAM GU60N	+6	1	100%
hp - DVDROM DH20N	+6	8	100%
hp - DVDROM DH40N	+6	1	100%
hp - DVDWBD TS-LB23L	+6	27	100%
hp - DVDWBD TS-LB23P	+6	1	100%
hp - DVDWBD TS-TB23L	+6	7	100%
hp DVD - DE8A3L	+6	3	100%
IBM - CD-RW-DVD-ROM	+102	5	100%
IBM - CDRW-USB2	+685	5	100%
IBM - DVRM00203	+103	1	100%
IBM - RMBO0020311	+102	2	100%
IBM - USB CD-ROM	+678	8	100%
IBM - USB2 MultiBurner	+102	5	100%
IDE-CD - CROM6048	+691	1	100%
IDE-CD - CDRW7352	+738	1	100%
IDE-CD - R-RW 12x8x32	+692	2	100%
IDE-CD - R-RW 16x10A	+733	8	100%
IDE-CD - R-RW 16x12A	+733	2	100%
IDE-CD - R-RW 48xC	+738	4	100%
IDE-CD - R-RW 4x4x32	-436	19	100%
IDE-CD - R-RW 8x4x32	-436	15	100%
IDE-CD - ReWritable-2x2x6	+1263	2	100%
IDE-DVD - DROM6216	+738	130	100%
IDE-DVD - DVDRW8631	+618	3	100%
IDE-DVD - DVDRW8651	+618	21	100%
IDE-DVD - DVDRW8801	+618	6	100%
IDE-DVD - ROM 16x	+691	52	100%
IDE-DVD - ROM 6116	+691	60	100%
Imation - IMW16DL84I	+6	2	100%
Imation - IMW18DL88RAME	+6	1	100%
Imation - IMW20DL88RAMI	+6	1	100%
Imation - IMW241040IAB	+97	1	100%
Imation - IMW242424DV8E	+6	2	100%
Imation - IMW4222DV8E	+12	2	100%
Imation - IMWDVRW16DL84I	+6	1	100%
IMATION - IMWDVRW16DLI	+12	1	100%
Imation - Slim DVD	+6	4	100%
IN-CDRW - DX-CDRW	+6	1	100%
IOMEGA - CDDVD482416E23-C	+6	7	100%
IOMEGA - CDDVD522416EC3-C	+6	3	100%
IOMEGA - CDRW19202EXT2-B	+12	1	100%
IOMEGA - CDRW23042EXT3-C	+12	5	100%
IOMEGA - CDRW2304FEXT-B	+12	1	100%
IOMEGA - CDRW55292EXT3-B	+6	7	100%
IOMEGA - CDRW55292EXT3-C	+6	5	100%
IOMEGA - CDRW6402EXT-B	+12	7	100%
IOMEGA - CDRW64892EXT3-B	+6	11	100%
IOMEGA - CDRW64892EXT3-C	+6	4	100%
IOMEGA - CDRW86522EXT3-B	+6	13	100%
IOMEGA - CDRW86522EXT3-C	+6	11	100%
IOMEGA - CDRW9602EXT-B	+12	7	100%
IOMEGA - CDRW9602EXT3-B	+12	2	100%
IOMEGA - DVDRW12448E2D-B	+12	1	100%
IOMEGA - DVDRW4216IND-A	+48	6	100%
IOMEGA - DVDRW4216INP-A	+48	2	100%
IOMEGA - DVDRW4224E2Q-D	+667	12	100%
IOMEGA - DVDRW4224INQ-D	+667	23	100%
IOMEGA - DVDRW8440E2D-B	+12	1	100%
Iomega - Slimline DVD	+6	19	100%
Iomega - Super DVD	+6	2	100%
IOMEGA - ZIPCD 650 USB	-436	6	83%
IOMEGA - ZIPCD-DVDROM	+708	3	100%
IOMEGA - ZIPCD1024INT-A	-436	3	100%
IOMEGA - ZIPCD3840INT-A	+99	2	100%
JUMBO - CDRW-DVD DBW521A	+6	1	100%
KENWOOD - CD-ROM UCR-415	+12	1	100%
KENWOOD - CD-ROM UCR-421	+12	12	100%
KiSS - DVD-ROM DR-1712	-472	2	100%
KiSS - DVD-ROM DR-1802	+691	2	100%
LACIE - CDBP-241040A	+688	2	100%
Lenovo - Slim_USB_Burner	+6	1	100%
LENOVO - USB MultiBurner2	+102	4	100%
Lenovo - USB_DVD_Burner5	+6	7	100%
LENOVO - USB_MultiBurner3	+594	14	100%
LENOVO - USB_SATA_Burner3	+6	12	100%
LENOVO - USB_SATA_Burner4	+6	3	100%
LG - CD-DVD-ROM	0	2	100%
LG - CD-ROM CRD-8400B	-24	18	100%
LG - CD-ROM CRD-8480B	-24	2	100%
LG - CD-ROM CRD-8480C	-24	5	100%
LG - CD-ROM CRD-8480M	-24	5	100%
LG - CD-ROM CRD-8481B	-24	1	100%
LG - CD-ROM CRD-8482B	-24	33	100%
LG - CD-ROM CRD-8483B	+12	13	100%
LG - CD-ROM CRD-8484B	-491	15	100%
LG - CD-ROM CRD-8485B	+12	2	100%
LG - CD-ROM CRD-8520B	+12	9	100%
LG - CD-ROM CRD-8521B	+12	36	100%
LG - CD-ROM CRD-8522B	-491	45	100%
LG - CD-ROM CRN-8241B	-24	2	100%
LG - CD-ROM CRN-8245B	-491	40	100%
LG - CD-RW CED-8080B	+86	92	100%
LG - CD-RW CED-8081B	+86	7	100%
LG - CD-RW CED-8083B	+86	20	100%
LG - CD-RW CED-8120B	+685	49	100%
LG - DVD-RAM DAD8020B	+667	1	100%
LG - DVD-ROM DRD8120B	+594	78	100%
LG - DVD-ROM DRD8160B	+594	151	100%
LG - DVD-ROM DRN8080B	-24	12	100%
LG - CD-ROM CRD-8322B	-24	12	100%
LG - CD-ROM CRD-8360B	-24	1	100%
LG - CD-ROM CRN-8241B	-24	2	100%
LG (KOR) - CD-ROM CRD-8520B	+12	2	100%
LG (KOR) - DVD-ROM DRD8120B	+594	4	100%
LG (KOR) - DVD-ROM DRD8160B	+594	4	100%
LG (OEM) - CD-ROM CRD-8521B	+12	2	100%
LG Electronics - BD-RE GGW-H10N	+667	3	100%
LG Electronics - BD-RE BE06LU10	+667	57	100%
LG Electronics - BD-RE BE06LU11	+667	1	100%
LG Electronics - BD-RE BE08LU20	+667	31	100%
LG Electronics - BD-RE BE12LU30	+667	26	100%
LG Electronics - BD-RE BE12LU38	+667	6	100%
LG Electronics - BD-RE BH08LS20	+667	186	100%
LG Electronics - BD-RE BH08NS20	+667	61	100%
LG Electronics - BD-RE BH10LS30	+667	676	100%
